import pandas as pd

# Define the data for the DATA_DICTIONARY.csv
data = [
# packet_trace.csv
["packet_trace.csv","TxTime_s","float","s","Packet transmission start time"],
["packet_trace.csv","PacketUid","int","","Unique packet identifier"],
["packet_trace.csv","NodeIdTx","int","","ID of the transmitting UAV node"],
["packet_trace.csv","NodeIdDst","int","","Intended destination node ID"],
["packet_trace.csv","TxPower_dBm","float","dBm","Transmission power level"],
["packet_trace.csv","PacketSizeByte_tx","int","bytes","Packet size transmitted"],
["packet_trace.csv","DataRate_Mbps","float","Mbps","Transmission data rate"],
["packet_trace.csv","RoleOfNodeTx","string","","Role of the transmitting node (e.g., source, relay)"],
["packet_trace.csv","RxTime_s","float","s","Reception time of the packet"],
["packet_trace.csv","NodeIdRx","int","","ID of the receiving node"],
["packet_trace.csv","RSSI_dBm","float","dBm","Received signal strength"],
["packet_trace.csv","Noise_dBm","float","dBm","Measured noise power at receiver"],
["packet_trace.csv","SNR_dB","float","dB","Signal-to-noise ratio"],
["packet_trace.csv","RoleOfNodeRx","string","","Role of the receiving node (e.g., destination, relay)"],
["packet_trace.csv","Link_Delay_ms","float","ms","Transmission delay between nodes"],
["packet_trace.csv","PacketTypePrimary","string","","Primary packet type (e.g., HELLO, TC, DATA)"],
["packet_trace.csv","PacketTypeSummary","string","","Summary or aggregated packet classification"],

# network_qos_metrics.csv
["network_qos_metrics.csv","window_start","float","s","Start time of the evaluation window"],
["network_qos_metrics.csv","window_end","float","s","End time of the evaluation window"],
["network_qos_metrics.csv","sent_pkts","int","","Total packets sent during the window"],
["network_qos_metrics.csv","sent_bytes","int","bytes","Total bytes sent"],
["network_qos_metrics.csv","recv_pkts","int","","Total packets received"],
["network_qos_metrics.csv","recv_bytes","int","bytes","Total bytes received"],
["network_qos_metrics.csv","avg_delay_ms","float","ms","Average end-to-end delay"],
["network_qos_metrics.csv","jitter_ms","float","ms","Average packet delay variation"],
["network_qos_metrics.csv","DestinationRecvDataPkts","int","","Number of data packets successfully received at destination"],
["network_qos_metrics.csv","DestinationRecvDataBytes","int","bytes","Total data bytes received at destination"],
["network_qos_metrics.csv","throughput_bps","float","bps","Network throughput"],
["network_qos_metrics.csv","goodput_bps","float","bps","Useful throughput excluding overhead"],
["network_qos_metrics.csv","ETX","float","","Expected transmission count metric"],
["network_qos_metrics.csv","PDR","float","","Packet delivery ratio"],
["network_qos_metrics.csv","LossRate","float","","Packet loss rate"],

# node_qos_metrics.csv
["node_qos_metrics.csv","window_start","float","s","Start time of the evaluation window"],
["node_qos_metrics.csv","window_end","float","s","End time of the evaluation window"],
["node_qos_metrics.csv","node_id","int","","Node identifier"],
["node_qos_metrics.csv","sent_pkts","int","","Number of packets sent by the node"],
["node_qos_metrics.csv","sent_bytes","int","bytes","Total bytes sent by the node"],
["node_qos_metrics.csv","recv_pkts","int","","Number of packets received by the node"],
["node_qos_metrics.csv","recv_bytes","int","bytes","Total bytes received by the node"],
